C0023791,ISA,C0033684,LOCATION_OF,C1999167,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C0282641,LOCATION_OF,C1999167,TREATS,C0033148,3
C0023791,TREATS,C0027361,INTERACTS_WITH,C1999167,TREATS,C0033148,3
C0023791,TREATS,C0027361,INTERACTS_WITH,C1999167,TREATS,C0033148,3
C0023791,ADMINISTERED_TO__SPEC__,C0030705,INTERACTS_WITH,C1999167,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0013080,AFFECTS,C1999167,TREATS,C0033148,3
C0023791,DISRUPTS,C0021368,AFFECTS,C1999167,TREATS,C0033148,3
C0023791,AFFECTS,C0678908,AFFECTS,C1999167,TREATS,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,AFFECTS,C1999167,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,AFFECTS,C1999167,TREATS,C0033148,3
C0023791,TREATS,C0338656,AFFECTS,C1999167,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C1254351,TREATS,C1999167,TREATS,C0033148,3
C0023791,ISA,C1254351,TREATS,C1999167,TREATS,C0033148,3
C0023791,ISA,C0003402,TREATS,C1999167,TREATS,C0033148,3
C0023791,ISA,C0013227,TREATS,C1999167,TREATS,C0033148,3
C0023791,USES,C3540512,TREATS,C1999167,TREATS,C0033148,3
C0023791,USES,C0087111,TREATS,C1999167,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,AFFECTS__SPEC__,C1999167,TREATS,C0033148,3
C0023791,LOCATION_OF,C0030560,PART_OF,C1999167,TREATS,C0033148,3
C0023791,AUGMENTS,C0206116,PART_OF,C1999167,TREATS,C0033148,3
C0023791,LOCATION_OF,C0032105,PART_OF,C1999167,TREATS,C0033148,3
C0023791,LOCATION_OF,C0006104,PART_OF,C1999167,TREATS,C0033148,3
C0023791,AFFECTS,C0007634,PART_OF,C1999167,TREATS,C0033148,3
C0023791,AFFECTS,C0678908,PROCESS_OF,C1999167,TREATS,C0033148,3
C0023791,PREVENTS,C0242606,PROCESS_OF,C1999167,TREATS,C0033148,3
C0023791,TREATS,C0600688,PROCESS_OF,C1999167,TREATS,C0033148,3
C0023791,DISRUPTS,C0021368,PROCESS_OF,C1999167,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,PROCESS_OF,C1999167,TREATS,C0033148,3
C0023791,TREATS,C0338656,PROCESS_OF,C1999167,TREATS,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,PROCESS_OF,C1999167,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,PROCESS_OF__SPEC__,C1999167,TREATS,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,OCCURS_IN,C1999167,TREATS,C0033148,3
C0023791,TREATS,C0338656,OCCURS_IN,C1999167,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,OCCURS_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,12133201,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,24669286,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,27792188,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,27801864,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,28269772,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,24669288,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,24077434,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,HAS_MESH,24077434,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,24763117,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,24900954,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,26786145,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,25817254,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,21103342,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,HAS_MESH,21103342,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,MENTIONED_IN,22329651,MENTIONED_IN,C1999167,TREATS,C0033148,3
C0023791,ADMINISTERED_TO__SPEC__,C0030705,PROCESS_OF,C0393615,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C0033684,AFFECTS,C0596620,DISRUPTS,C0033148,3
